Date,Open ,High,Low,Close
2016-12-01 09:30:00,878.91,878.96,839.78,846.7
2016-12-01 11:00:00,846.62,851.64,840.06,843.48
2016-12-01 13:00:00,843.4,843.4,837.36,837.97
2016-12-01 15:00:00,837.95,837.95,832.13,836.93
2016-12-02 09:30:00,834.24,845.18,832.9,844.62
2016-12-02 11:00:00,844.58,848.79,843.89,847.26
2016-12-02 13:00:00,847.23,847.56,844.13,847.26
2016-12-02 15:00:00,847.28,849.02,846.27,847.64
2016-12-05 09:30:00,854.87,860.56,849.46,859.45
2016-12-05 11:00:00,859.44,860.15,854.72,857.35
2016-12-05 13:00:00,857.35,857.42,855.42,857.09
2016-12-05 15:00:00,857.08,858.55,857.08,858.09
2016-12-06 09:30:00,861.49,868.38,861.26,864.9
2016-12-06 11:00:00,864.91,866.25,862.27,863.99
2016-12-06 13:00:00,863.98,870.55,863.88,870.47
2016-12-06 15:00:00,870.48,870.81,867.11,870.02
2016-12-07 09:30:00,869.8,874.76,866.62,873.02
2016-12-07 11:00:00,873.04,878.95,872.63,878.93
2016-12-07 13:00:00,879.01,885.88,878.73,885.76
2016-12-07 15:00:00,885.78,889.84,884.9,888.24
2016-12-08 09:30:00,890.75,896.23,889.42,895.6
2016-12-08 11:00:00,895.61,899.7,893.98,898.79
2016-12-08 13:00:00,898.77,900.97,893.11,895.05
2016-12-08 15:00:00,895.07,896.76,894.93,895.67
2016-12-09 09:30:00,903.64,903.64,886.31,891.87
2016-12-09 11:00:00,891.9,892.48,887.98,889.99
2016-12-09 13:00:00,890.0,891.97,888.98,890.73
2016-12-09 15:00:00,890.74,892.47,890.33,892.47
2016-12-12 09:30:00,886.29,890.14,883.22,885.53
2016-12-12 11:00:00,885.54,887.34,878.24,880.03
2016-12-12 13:00:00,880.06,882.38,879.49,881.38
2016-12-12 15:00:00,881.37,885.85,881.36,885.4
2016-12-13 09:30:00,890.08,897.37,888.7,894.63
2016-12-13 11:00:00,894.64,899.15,893.34,898.34
2016-12-13 13:00:00,898.29,901.59,896.21,897.02
2016-12-13 15:00:00,897.03,897.96,894.79,895.6
2016-12-14 09:30:00,895.54,899.49,893.42,896.78
2016-12-14 11:00:00,896.77,897.16,894.25,896.73
2016-12-14 13:00:00,896.68,899.89,892.7,894.77
2016-12-14 15:00:00,894.78,899.19,891.6,894.32
2016-12-15 09:30:00,897.7,911.84,896.69,909.55
2016-12-15 11:00:00,909.69,913.82,909.69,912.18
2016-12-15 13:00:00,912.16,913.82,906.11,908.83
2016-12-15 15:00:00,908.83,911.44,907.9,909.97
2016-12-16 09:30:00,912.4,916.57,907.25,910.03
2016-12-16 11:00:00,909.99,910.12,902.04,902.93
2016-12-16 13:00:00,902.94,903.08,898.74,901.15
2016-12-16 15:00:00,901.19,901.49,896.68,900.07
2016-12-19 09:30:00,904.57,911.92,902.39,910.43
2016-12-19 11:00:00,910.42,913.29,907.07,909.5
2016-12-19 13:00:00,909.48,912.15,909.26,910.28
2016-12-19 15:00:00,910.21,910.5,907.83,909.7
2016-12-20 09:30:00,915.58,919.98,914.39,918.04
2016-12-20 11:00:00,918.03,919.08,915.17,917.91
2016-12-20 13:00:00,917.89,918.94,916.12,916.65
2016-12-20 15:00:00,916.63,917.97,914.98,917.97
2016-12-21 09:30:00,919.54,922.45,916.87,917.91
2016-12-21 11:00:00,917.94,920.82,917.93,919.72
2016-12-21 13:00:00,919.68,920.64,918.6,919.84
2016-12-21 15:00:00,919.84,919.84,917.37,918.44
2016-12-22 09:30:00,927.73,928.29,923.76,924.05
2016-12-22 11:00:00,924.04,925.53,919.45,920.33
2016-12-22 13:00:00,920.32,923.95,920.02,923.13
2016-12-22 15:00:00,923.14,923.4,921.08,923.01
2016-12-23 09:30:00,920.82,924.46,920.43,922.09
2016-12-23 11:00:00,922.1,925.89,921.94,924.59
2016-12-23 13:00:00,924.54,925.41,922.93,925.26
2016-12-23 15:00:00,925.25,928.04,924.47,927.79
2016-12-27 09:30:00,931.1,940.73,931.1,938.33
2016-12-27 11:00:00,938.34,939.75,936.24,936.6
2016-12-27 13:00:00,936.58,938.84,935.92,937.91
2016-12-27 15:00:00,937.9,939.7,937.9,939.17
2016-12-28 09:30:00,943.2,944.23,924.19,927.79
2016-12-28 11:00:00,927.8,934.19,926.97,927.59
2016-12-28 13:00:00,927.59,927.59,927.59,927.59
2016-12-28 15:00:00,927.59,927.59,927.59,927.59
2016-12-29 09:30:00,913.75,920.39,911.46,914.98
2016-12-29 11:00:00,914.96,919.56,911.71,918.17
2016-12-29 13:00:00,918.19,919.38,914.88,918.36
2016-12-29 15:00:00,918.35,921.23,917.03,921.07
2016-12-30 09:30:00,924.33,925.31,908.99,913.5
2016-12-30 11:00:00,913.46,913.53,906.96,907.86
2016-12-30 13:00:00,907.88,908.18,904.23,906.11
2016-12-30 15:00:00,906.09,908.44,904.41,906.65
2017-01-03 09:30:00,910.8,919.87,905.5,909.04
2017-01-03 11:00:00,909.03,911.25,899.83,902.32
2017-01-03 13:00:00,902.35,903.71,899.33,902.5
2017-01-03 15:00:00,902.51,907.33,902.46,907.2
2017-01-04 09:30:00,910.53,913.68,906.14,907.6
2017-01-04 11:00:00,907.59,910.71,905.23,910.16
2017-01-04 13:00:00,910.15,911.45,908.39,909.12
2017-01-04 15:00:00,909.08,910.96,908.66,909.64
2017-01-05 09:30:00,909.91,914.75,907.24,908.77
2017-01-05 11:00:00,908.74,908.74,900.21,903.52
2017-01-05 13:00:00,903.54,904.77,902.27,902.27
2017-01-05 15:00:00,902.25,903.48,901.52,901.65
2017-01-06 09:30:00,903.26,907.06,898.55,905.27
2017-01-06 11:00:00,905.21,910.29,903.44,910.26
2017-01-06 13:00:00,910.25,911.32,908.29,908.29
2017-01-06 15:00:00,908.31,909.88,908.25,908.61
2017-01-09 09:30:00,911.92,922.09,911.92,921.64
2017-01-09 11:00:00,921.62,922.24,918.85,919.8
2017-01-09 13:00:00,919.78,920.89,916.4,917.13
2017-01-09 15:00:00,917.12,919.89,917.12,918.55
2017-01-10 09:30:00,919.97,923.93,918.13,922.33
2017-01-10 11:00:00,922.36,924.97,922.3,922.44
2017-01-10 13:00:00,922.44,923.5,920.51,921.39
2017-01-10 15:00:00,921.4,923.94,921.01,923.03
2017-01-11 09:30:00,922.39,925.23,919.64,924.77
2017-01-11 11:00:00,924.76,925.8,920.23,924.44
2017-01-11 13:00:00,924.36,924.52,920.22,923.64
2017-01-11 15:00:00,923.64,926.63,923.53,926.54
2017-01-12 09:30:00,918.78,918.8,904.66,906.93
2017-01-12 11:00:00,906.96,913.93,904.9,913.4
2017-01-12 13:00:00,913.37,917.35,913.28,917.18
2017-01-12 15:00:00,917.17,918.78,915.53,918.12
2017-01-13 09:30:00,919.2,926.76,918.91,925.66
2017-01-13 11:00:00,925.67,926.4,923.31,924.34
2017-01-13 13:00:00,924.36,924.8,922.29,923.64
2017-01-13 15:00:00,923.64,924.88,923.5,924.59
2017-01-17 09:30:00,919.9,920.61,913.84,918.56
2017-01-17 11:00:00,918.57,918.84,914.63,914.63
2017-01-17 13:00:00,914.64,914.65,906.99,908.67
2017-01-17 15:00:00,908.68,909.58,906.56,909.38
2017-01-18 09:30:00,911.11,922.87,909.93,920.57
2017-01-18 11:00:00,920.55,922.02,918.47,918.47
2017-01-18 13:00:00,918.44,920.48,918.17,919.48
2017-01-18 15:00:00,919.47,922.4,918.88,922.25
2017-01-19 09:30:00,921.3,928.17,920.95,922.42
2017-01-19 11:00:00,922.31,924.52,919.86,922.96
2017-01-19 13:00:00,922.95,923.16,917.85,917.85
2017-01-19 15:00:00,917.87,918.9,917.17,917.95
2017-01-20 09:30:00,927.56,935.58,927.45,932.71
2017-01-20 11:00:00,932.81,935.27,927.92,929.97
2017-01-20 13:00:00,929.99,932.14,927.77,930.07
2017-01-20 15:00:00,930.09,931.99,928.16,930.0
