Date,Open,High,Low,Close,Volume
2/5/2018,539.99,553.03,518.5,524.97,1129441
2/6/2018,510.81,538.52,507.26,535.22,1076684
2/7/2018,535.18,541.66,532,532.26,672416
2/8/2018,534.23,536.49,509.01,509.38,1038698
2/9/2018,517.05,525.99,500.01,521.51,938570
2/12/2018,526.32,532.14,519.88,525.38,614748
2/13/2018,520.86,526.52,518.77,521.27,517482
2/14/2018,517.9,540.35,516.4,539.94,657379
2/15/2018,546.41,547.71,531.17,540.65,647959
2/16/2018,539.35,548.48,537.83,541.1,534425
2/20/2018,541,546.43,537.25,542.6,532149
2/21/2018,542.6,556.06,542.42,543.56,486257
2/22/2018,547.96,552.17,537.49,539.53,626096
2/23/2018,543.76,549.91,542.05,549.75,366653
2/26/2018,553.15,564.22,550.69,563.97,639590
2/27/2018,561.95,565.49,552.76,552.77,616407
2/28/2018,554.74,566.4,548.83,549.43,721147
3/1/2018,548.6,549.02,527.03,535.58,779735
3/2/2018,530.22,539.8,527.09,537.58,636469
3/5/2018,532.65,546.16,531.42,545.26,384595
3/6/2018,543.16,549,540.14,548.66,387462
3/7/2018,540.42,548.52,538.33,547.43,465886
3/8/2018,548.87,554.37,547.02,553.39,595221
3/9/2018,558.33,578.65,558.33,577.18,814709
3/12/2018,578.34,578.8,569.01,571.79,410921
3/13/2018,577.26,578.56,562.18,564.06,477530
3/14/2018,566.66,566.66,557.56,558.96,341448
3/15/2018,560.25,563.63,555.85,557.93,313222
3/16/2018,558.79,565.88,558.04,563.66,616887
3/19/2018,563.85,563.98,548.09,553.83,554578
3/20/2018,557.54,557.84,552,557.52,381157
3/21/2018,558.6,573.47,557.05,564.16,480139
3/22/2018,556.14,558.17,538.38,539.42,699186
3/23/2018,542.19,542.19,518.55,521.13,655419
3/26/2018,529.9,541.57,525.57,540.72,671959
3/27/2018,541.8,545.29,527.55,532.11,511343
3/28/2018,534.37,536.52,524.07,528.03,496819
3/29/2018,532.25,547.05,528.64,541.72,488072
4/2/2018,537.76,539.77,510.06,519,746192
4/3/2018,522.45,529.89,518.27,528.73,565973
4/4/2018,515.77,538.23,515.65,536.31,471244
4/5/2018,537.73,544.58,535.5,538.4,397396
4/6/2018,529.4,533.76,513.27,519.92,518536
4/9/2018,527.12,534.16,520.22,521.14,559585
4/10/2018,528.92,538.88,528,533.96,625574
4/11/2018,527.1,533.45,523.67,525.31,549389
4/12/2018,530.33,541.49,529,533.01,668615
4/13/2018,539.35,539.35,521.1,524.77,489175
4/16/2018,528,531.46,524.67,524.85,789539
4/17/2018,528.26,530.19,524.3,526.84,1367854
4/18/2018,528.52,528.52,522.12,523.22,671822
4/19/2018,523.65,526.89,522,525.06,525355
4/20/2018,525.82,527.57,520.61,524.42,639351
4/23/2018,525.18,526.37,518.54,519.85,489260
4/24/2018,522.75,523.08,509.16,513.7,1028815
4/25/2018,514,516.01,509.12,512.22,715803
4/26/2018,513,526.5,512,522.72,712916
4/27/2018,524.19,525.96,519.82,524.65,370927
4/30/2018,525.4,528.78,520.67,521.5,480881
5/1/2018,517.97,521.11,512.2,517.97,417107
5/2/2018,517.51,521.66,514.03,514.79,438682
5/3/2018,513.84,514.2,500.85,511.67,682529
5/4/2018,506.69,527.49,505.65,520.4,601853
5/7/2018,522.26,526.74,518.96,523.6,366616
